institution,academic_year,programme,established,graduate,registered,enrolled,active
Aristotle University of Thessaloniki,2022-2023,Journalism and Mass Media,27/07/1991,107,992,143,671
Aristotle University of Thessaloniki,2022-2023,Fine and Applied Arts,03/05/1984,104,1137,116,743
Aristotle University of Thessaloniki,2022-2023,Introductory Direction of Muslim Studies,19/04/2016,25,236,13,226
Aristotle University of Thessaloniki,2022-2023,Physical Education and Sports Science,01/09/1983,224,2413,253,1100
Aristotle University of Thessaloniki,2022-2023,Physical Education and Sports Science,08/02/1985,118,887,140,498
Aristotle University of Thessaloniki,2022-2023,Preschool Education Sciences,09/07/1983,261,1483,236,935
Aristotle University of Thessaloniki,2022-2023,Electrical and Computer Engineering,01/09/1976,263,2851,285,1726
Aristotle University of Thessaloniki,2022-2023,Theater,03/05/1984,52,949,90,582
Aristotle University of Thessaloniki,2022-2023,Theology,25/10/1982,92,3901,64,705
Aristotle University of Thessaloniki,2022-2023,Medicine,18/02/1942,337,2557,335,1795
Aristotle University of Thessaloniki,2022-2023,History and Archaeology,12/03/2020,209,1845,136,932
Aristotle University of Thessaloniki,2022-2023,Italian Language and Literature,01/09/1960,41,920,20,308
Aristotle University of Thessaloniki,2022-2023,Cinema,22/07/2004,63,963,112,615
Aristotle University of Thessaloniki,2022-2023,Social Theology and Christian Culture,06/10/1994,104,1831,55,545
Aristotle University of Thessaloniki,2022-2023,Veterinary Medicine,17/10/1950,96,1086,141,742
Aristotle University of Thessaloniki,2022-2023,Mathematics,18/10/1928,134,2858,127,1064
Aristotle University of Thessaloniki,2022-2023,Spatial Planning and Development Engineering,22/07/2004,83,776,104,588
Aristotle University of Thessaloniki,2022-2023,Mechanical Engineering,10/09/1976,112,1816,163,1009
Aristotle University of Thessaloniki,2022-2023,Music Studies,03/05/1984,51,771,63,444
Aristotle University of Thessaloniki,2022-2023,Law,07/08/1930,461,5025,528,2242
Aristotle University of Thessaloniki,2022-2023,Dentistry,07/09/1959,93,708,115,560
Aristotle University of Thessaloniki,2022-2023,Economic Sciences,19/11/1927,313,5084,517,2267
Aristotle University of Thessaloniki,2022-2023,Primary Education Pedagogy,16/07/1982,344,1760,306,1173
Aristotle University of Thessaloniki,2022-2023,Informatics,30/05/1991,136,1793,228,1167
Aristotle University of Thessaloniki,2022-2023,Political Sciences,06/09/1999,156,1286,180,799
Aristotle University of Thessaloniki,2022-2023,Civil Engineering,08/10/1955,137,2321,216,1315
Aristotle University of Thessaloniki,2022-2023,Pharmacy,22/03/1993,110,986,144,717
Aristotle University of Thessaloniki,2022-2023,Philology,01/09/1984,207,1852,135,1025
Aristotle University of Thessaloniki,2022-2023,Philosophy and Pedagogy,27/04/1993,186,1110,83,707
Aristotle University of Thessaloniki,2022-2023,Physics,27/08/1982,153,2583,156,1018
Aristotle University of Thessaloniki,2022-2023,Chemistry,03/07/2009,153,1626,224,901
Aristotle University of Thessaloniki,2022-2023,Chemical Engineering,28/06/1972,112,1278,153,781
Aristotle University of Thessaloniki,2022-2023,Psychology,27/04/1993,292,1541,298,1115
School of Pedagogical and Technological Education (ASPETE),2022-2023,Educational Electrical Engineering,05/06/2013,56,949,54,582
School of Pedagogical and Technological Education (ASPETE),2022-2023,Educational Electronic Engineering,05/06/2013,36,938,28,556
School of Pedagogical and Technological Education (ASPETE),2022-2023,Educational Mechanical Engineering,05/06/2013,65,889,43,565
School of Pedagogical and Technological Education (ASPETE),2022-2023,Educational Civil Engineering,01/09/2013,37,864,33,472
Agricultural University of Athens,2022-2023,Agricultural Economy and Development,28/03/1985,91,1259,79,666
Agricultural University of Athens,2022-2023,Natural Resources Utilization and Agricultural Engineering,16/06/1989,83,1210,67,613
Agricultural University of Athens,2022-2023,Biotechnology,16/06/1989,70,1028,146,773
Agricultural University of Athens,2022-2023,Forestry and Natural Environment Management,29/01/2019,15,321,44,321
Agricultural University of Athens,2022-2023,Agricultural Business Management and Supply Systems,29/01/2019,0,710,118,710
Agricultural University of Athens,2022-2023,Animal Production Science,16/06/1989,92,1159,86,721
Agricultural University of Athens,2022-2023,Food Science and Human Nutrition,16/06/1989,76,982,123,699
Agricultural University of Athens,2022-2023,Plant Production Science,28/03/1985,144,2200,235,1237
Agricultural University of Athens,2022-2023,Regional and Economic Development,29/01/2019,4,344,25,344
Agricultural University of Athens,2022-2023,Forestry and Natural Environment Management,22/08/1994,38,543,0,162
Agricultural University of Athens,2022-2023,Supply Systems Management,23/06/2005,194,1581,0,403
Agricultural University of Athens,2022-2023,"Management, Economy and Communication of Cultural and Tourist Units",05/06/2013,100,1888,0,248
Democritus University of Thrace,2022-2023,Agricultural Development,06/09/1999,91,1023,35,680
Democritus University of Thrace,2022-2023,Architectural Engineering,06/09/1999,107,639,94,539
Democritus University of Thrace,2022-2023,"Language, Philology and Culture of Black Sea Countries",10/03/2000,75,1788,48,1246
Democritus University of Thrace,2022-2023,Forestry and Environment and Natural Resources Management,06/09/1999,43,834,19,518
Democritus University of Thrace,2022-2023,Greek Philology,13/09/1993,94,999,123,668
Democritus University of Thrace,2022-2023,Physical Education and Sports Science,30/11/1983,273,2324,391,1449
Democritus University of Thrace,2022-2023,Preschool Education Sciences,16/07/1982,145,1063,239,783
Democritus University of Thrace,2022-2023,Electrical and Computer Engineering,08/10/1975,142,1576,154,1011
Democritus University of Thrace,2022-2023,Medicine,22/07/1977,120,857,118,662
Democritus University of Thrace,2022-2023,History and Ethnology,10/04/1990,92,1115,57,604
Democritus University of Thrace,2022-2023,Social Work,07/05/2019,210,637,148,586
Democritus University of Thrace,2022-2023,Social Policy,07/05/2019,61,758,122,530
Democritus University of Thrace,2022-2023,Production and Management Engineering,10/03/2000,149,1046,125,797
Democritus University of Thrace,2022-2023,Environmental Engineering,13/09/1993,89,803,81,610
Democritus University of Thrace,2022-2023,Molecular Biology and Genetics,06/09/1999,110,772,143,568
Democritus University of Thrace,2022-2023,Law,25/05/1974,387,3716,638,1788
Democritus University of Thrace,2022-2023,Economic Sciences,06/09/1999,162,1537,200,994
Democritus University of Thrace,2022-2023,Primary Education Pedagogy,16/07/1982,168,1271,250,862
Democritus University of Thrace,2022-2023,Political Science,01/09/2019,112,766,155,598
Democritus University of Thrace,2022-2023,Civil Engineering,25/05/1974,97,1135,109,650
International Hellenic University,2022-2023,Agricultural Biotechnology and Oenology,07/05/2019,0,482,37,482
International Hellenic University,2022-2023,Early Childhood Care and Education,07/05/2019,103,511,262,511
International Hellenic University,2022-2023,"Library Science, Archival Science and Information Systems",07/05/2019,51,144,106,124
International Hellenic University,2022-2023,Biomedical Sciences,07/05/2019,57,701,215,699
International Hellenic University,2022-2023,Agriculture,07/05/2019,35,1039,251,1038
International Hellenic University,2022-2023,Forestry and Natural Environment,07/05/2019,22,384,28,384
International Hellenic University,2022-2023,Creative Design and Clothing,07/05/2019,9,411,69,402
International Hellenic University,2022-2023,Supply Chain Management,07/05/2019,14,693,190,685
International Hellenic University,2022-2023,"Organization Management, Marketing and Tourism",07/05/2019,163,1403,353,1395
International Hellenic University,2022-2023,Management Science and Technology,07/05/2019,1,735,152,735
International Hellenic University,2022-2023,Food Science and Technology,07/05/2019,15,591,159,591
International Hellenic University,2022-2023,Nutrition and Dietetics Sciences,07/05/2019,0,554,130,554
International Hellenic University,2022-2023,Interior Architecture,07/05/2019,8,378,100,377
International Hellenic University,2022-2023,Accounting and Information Systems,07/05/2019,72,657,148,651
International Hellenic University,2022-2023,Accounting and Finance,07/05/2019,2,750,146,746
International Hellenic University,2022-2023,Midwifery,07/05/2019,101,595,123,595
International Hellenic University,2022-2023,Production and Management Engineering,07/05/2019,11,578,138,575
International Hellenic University,2022-2023,Environmental Engineering,07/05/2019,0,305,59,305
International Hellenic University,2022-2023,Informatics and Electronic Systems Engineering,05/07/2019,36,841,260,835
International Hellenic University,2022-2023,"Informatics, Computers and Telecommunications Engineering",07/05/2019,0,339,173,339
International Hellenic University,2022-2023,Surveying and Geoinformatics Engineering,07/05/2019,0,190,11,190
International Hellenic University,2022-2023,Mechanical Engineering,07/05/2019,7,408,128,407
International Hellenic University,2022-2023,Nursing,07/05/2019,35,125,33,125
International Hellenic University,2022-2023,Nursing,07/05/2019,148,556,261,552
International Hellenic University,2022-2023,Economic Sciences,07/05/2019,6,992,280,987
International Hellenic University,2022-2023,Business Administration,07/05/2019,61,1104,256,1097
International Hellenic University,2022-2023,Informatics,07/05/2019,3,951,223,951
International Hellenic University,2022-2023,Civil Engineering,07/05/2019,0,207,46,207
International Hellenic University,2022-2023,Physics,07/05/2019,0,282,25,282
International Hellenic University,2022-2023,Physiotherapy,07/05/2019,109,777,312,777
International Hellenic University,2022-2023,Chemistry,07/05/2019,0,440,182,440
International Hellenic University,2022-2023,Aesthetics and Cosmetology,12/10/1984,135,549,0,258
International Hellenic University,2022-2023,Landscape Architecture,17/09/2003,21,249,0,121
International Hellenic University,2022-2023,Library Science and Information Systems,27/03/1984,27,488,0,113
International Hellenic University,2022-2023,Forestry and Natural Environment Management,23/06/2005,43,793,0,212
International Hellenic University,2022-2023,Nutrition and Dietetics,27/11/1985,57,590,0,138
International Hellenic University,2022-2023,Business Administration,03/06/2013,7,1091,0,390
International Hellenic University,2022-2023,Business Administration,27/11/1985,102,2111,0,448
International Hellenic University,2022-2023,Business Administration,24/11/1983,108,2437,0,161
International Hellenic University,2022-2023,Supply Systems Management,17/09/2003,103,1101,0,273
International Hellenic University,2022-2023,Tourism Business and Hospitality Management,03/06/2013,5,796,0,343
International Hellenic University,2022-2023,"Interior Architecture, Decoration and Object Design",12/03/2009,18,168,0,55
International Hellenic University,2022-2023,Electrical Engineering,24/11/1983,109,1408,0,279
International Hellenic University,2022-2023,Electronic Engineering,24/11/1983,53,1177,0,330
International Hellenic University,2022-2023,Medical Laboratories,12/11/1984,69,573,0,277
International Hellenic University,2022-2023,Accounting and Finance,03/06/2013,107,1113,0,276
International Hellenic University,2022-2023,Accounting and Finance,24/11/1983,85,1682,0,366
International Hellenic University,2022-2023,Accounting and Finance,05/06/2013,190,2021,0,252
International Hellenic University,2022-2023,Midwifery,24/11/1983,55,684,0,374
International Hellenic University,2022-2023,Automation Engineering,09/03/1988,59,833,0,249
International Hellenic University,2022-2023,Informatics Engineering,09/03/1988,56,1334,0,466
International Hellenic University,2022-2023,Informatics Engineering,05/06/2013,77,1204,0,258
International Hellenic University,2022-2023,Informatics Engineering,06/09/1999,74,1423,0,228
International Hellenic University,2022-2023,Oil and Natural Gas Technology Engineering,14/10/1976,142,1201,0,129
International Hellenic University,2022-2023,Surveying and Geoinformatics Engineering,06/09/1999,41,1217,0,146
International Hellenic University,2022-2023,Mechanical Engineering,14/10/1976,149,914,0,105
International Hellenic University,2022-2023,Mechanical Engineering,05/06/2013,68,1125,0,165
International Hellenic University,2022-2023,Vehicle Mechanical Engineering,09/03/1988,54,715,0,175
International Hellenic University,2022-2023,Nursing,28/09/1970,27,364,0,72
International Hellenic University,2022-2023,Nursing,10/05/2007,34,266,0,134
International Hellenic University,2022-2023,Oenology and Beverage Technology,12/03/2009,95,318,0,84
International Hellenic University,2022-2023,Civil Engineering,03/06/2013,62,474,0,136
International Hellenic University,2022-2023,Civil Engineering,05/06/2013,24,1211,0,136
International Hellenic University,2022-2023,Preschool Education,27/11/1985,20,137,0,59
International Hellenic University,2022-2023,Clothing Design and Technology,06/09/1999,37,944,0,201
International Hellenic University,2022-2023,Food Technology,24/11/1983,61,949,0,259
International Hellenic University,2022-2023,Agricultural Technologists,06/03/2013,179,2017,0,444
International Hellenic University,2022-2023,Physiotherapy,24/11/1983,28,477,0,111
National and Kapodistrian University of Athens,2022-2023,Unknown,19/07/2019,0,50,53,50
National and Kapodistrian University of Athens,2022-2023,English Language and Literature,23/06/1951,223,4519,267,977
National and Kapodistrian University of Athens,2022-2023,"Agricultural Development, Agrifood and Natural Resources Management",29/01/2019,2,275,69,275
National and Kapodistrian University of Athens,2022-2023,Aerospace Science and Technology,29/01/2019,1,247,36,247
National and Kapodistrian University of Athens,2022-2023,Biology,03/07/1970,129,1669,147,707
National and Kapodistrian University of Athens,2022-2023,French Language and Literature,16/07/1982,94,2937,63,576
National and Kapodistrian University of Athens,2022-2023,German Language and Literature,15/02/1977,107,1480,51,549
National and Kapodistrian University of Athens,2022-2023,Geology and Geoenvironment,03/07/1970,56,1929,61,636
National and Kapodistrian University of Athens,2022-2023,Port and Shipping Management,29/01/2019,26,646,150,646
National and Kapodistrian University of Athens,2022-2023,Business Administration,29/01/2019,25,519,130,519
National and Kapodistrian University of Athens,2022-2023,Preschool Education and Training,16/07/1983,211,1590,197,936
National and Kapodistrian University of Athens,2022-2023,Communication and Mass Media,06/10/1989,124,1374,202,847
National and Kapodistrian University of Athens,2022-2023,Physical Education and Sports Science,12/04/1983,237,4844,304,1654
National and Kapodistrian University of Athens,2022-2023,Theater Studies,06/10/1989,76,1598,147,779
National and Kapodistrian University of Athens,2022-2023,Theology,16/07/1982,119,4226,89,1027
National and Kapodistrian University of Athens,2022-2023,Medicine,24/04/1837,348,3058,378,1946
National and Kapodistrian University of Athens,2022-2023,Unknown,01/09/2022,0,38,38,38
National and Kapodistrian University of Athens,2022-2023,Spanish Language and Literature,01/10/2009,66,891,51,416
National and Kapodistrian University of Athens,2022-2023,History and Archaeology,24/04/1986,272,3934,281,1481
National and Kapodistrian University of Athens,2022-2023,History and Philosophy of Science,05/03/1993,69,1418,133,597
National and Kapodistrian University of Athens,2022-2023,Italian Language and Literature,01/10/2009,87,817,31,358
National and Kapodistrian University of Athens,2022-2023,Social Theology and Religious Studies,18/05/1977,114,3124,112,1129
National and Kapodistrian University of Athens,2022-2023,Sociology,29/01/2019,17,450,110,450
National and Kapodistrian University of Athens,2022-2023,Mathematics,04/06/1904,194,4821,221,1499
National and Kapodistrian University of Athens,2022-2023,Music Studies,06/10/1989,45,1047,72,594
National and Kapodistrian University of Athens,2022-2023,Law,24/04/1837,605,7012,702,3336
National and Kapodistrian University of Athens,2022-2023,Nursing,22/08/1983,134,1296,233,836
National and Kapodistrian University of Athens,2022-2023,Dentistry,22/09/1916,140,992,141,684
National and Kapodistrian University of Athens,2022-2023,Economic Sciences,27/08/1982,295,8132,449,2101
National and Kapodistrian University of Athens,2022-2023,Primary Education Pedagogy,07/09/1983,317,2534,345,1447
National and Kapodistrian University of Athens,2022-2023,Secondary Education Pedagogy Department,29/01/2019,37,663,175,656
National and Kapodistrian University of Athens,2022-2023,Informatics and Telecommunications,16/06/1989,203,2852,271,1485
National and Kapodistrian University of Athens,2022-2023,Political Science and Public Administration,11/06/1981,241,4045,250,1048
National and Kapodistrian University of Athens,2022-2023,Russian Language and Literature and Slavic Studies,31/07/2007,55,590,79,410
National and Kapodistrian University of Athens,2022-2023,Digital Industry Technologies,29/01/2019,0,770,248,770
National and Kapodistrian University of Athens,2022-2023,Turkish Studies and Modern Asian Studies,02/03/2004,77,1125,40,539
National and Kapodistrian University of Athens,2022-2023,Pharmacy,12/08/1838,115,1762,339,938
National and Kapodistrian University of Athens,2022-2023,Philology,18/10/1984,298,3217,280,1595
National and Kapodistrian University of Athens,2022-2023,Philosophy,29/01/2019,58,765,116,745
National and Kapodistrian University of Athens,2022-2023,"Philosophy, Pedagogy and Psychology",01/09/2019,36,2015,0,86
National and Kapodistrian University of Athens,2022-2023,Physics,23/03/1932,172,3859,208,1290
National and Kapodistrian University of Athens,2022-2023,Chemistry,27/04/1918,128,1791,149,666
National and Kapodistrian University of Athens,2022-2023,Digital Arts and Cinema,29/01/2019,1,358,107,358
National and Kapodistrian University of Athens,2022-2023,Psychology,03/06/2013,492,1863,297,1337
National and Kapodistrian University of Athens,2022-2023,Electrical Engineering,01/09/2019,141,2477,0,239
National and Kapodistrian University of Athens,2022-2023,Accounting and Finance,01/09/2019,284,1777,0,361
National and Kapodistrian University of Athens,2022-2023,Automation Engineering,01/09/2019,18,1399,0,258
National and Kapodistrian University of Athens,2022-2023,Aircraft Technology Engineering,01/09/2019,18,671,0,133
National and Kapodistrian University of Athens,2022-2023,Mechanical Engineering,01/09/2019,84,1357,0,243
National Technical University of Athens,2022-2023,Agricultural and Surveying Engineering - Geoinformatics Engineering,30/10/1917,93,1404,74,724
National Technical University of Athens,2022-2023,Architectural Engineering,30/10/1917,157,1761,158,1178
National Technical University of Athens,2022-2023,Applied Mathematics and Physical Sciences,01/09/1999,106,1893,154,1068
National Technical University of Athens,2022-2023,Electrical and Computer Engineering,30/10/1917,299,4941,420,2628
National Technical University of Athens,2022-2023,Mining - Metallurgical Engineering,13/08/1975,79,976,105,562
National Technical University of Athens,2022-2023,Mechanical Engineering,30/10/1917,162,3884,215,1369
National Technical University of Athens,2022-2023,Naval Architects and Mechanical Engineering,27/08/1982,108,1397,126,767
National Technical University of Athens,2022-2023,Civil Engineering,20/06/1887,151,2558,205,1318
National Technical University of Athens,2022-2023,Chemical Engineering,30/10/1917,156,1748,178,971
Hellenic Open University,2022-2023,Unknown,30/01/2018,257,2290,601,2290
Hellenic Open University,2022-2023,Unknown,21/03/2018,52,885,262,885
Hellenic Open University,2022-2023,Unknown,11/12/1998,709,3986,724,3237
Hellenic Open University,2022-2023,Unknown,11/12/1998,36,279,70,228
Hellenic Open University,2022-2023,Unknown,11/12/1998,149,1850,503,1342
Hellenic Open University,2022-2023,Unknown,11/12/1998,24,359,76,217
Hellenic Open University,2022-2023,Unknown,11/12/1998,369,1918,289,1369
Hellenic Open University,2022-2023,Unknown,11/12/1998,261,1418,192,864
Hellenic Mediterranean University,2022-2023,Agriculture,07/05/2019,3,574,167,573
Hellenic Mediterranean University,2022-2023,Business and Tourism Management,07/05/2019,2,938,218,938
Hellenic Mediterranean University,2022-2023,Management Science and Technology,07/05/2019,2,444,55,444
Hellenic Mediterranean University,2022-2023,Nutrition and Dietetics Sciences,07/05/2019,0,361,150,361
Hellenic Mediterranean University,2022-2023,Electrical and Computer Engineering,07/05/2019,0,479,111,479
Hellenic Mediterranean University,2022-2023,Electronic Engineering,07/05/2019,0,568,174,567
Hellenic Mediterranean University,2022-2023,Social Work,07/05/2019,34,506,184,506
Hellenic Mediterranean University,2022-2023,Accounting and Finance,07/05/2019,1,787,201,787
Hellenic Mediterranean University,2022-2023,Mechanical Engineering,01/07/2019,1,323,113,323
Hellenic Mediterranean University,2022-2023,Music Technology and Acoustics,06/09/1999,1,335,47,335
Hellenic Mediterranean University,2022-2023,Nursing,07/05/2019,7,488,181,488
Hellenic Mediterranean University,2022-2023,Nutrition and Dietetics,06/09/1999,41,678,0,136
Hellenic Mediterranean University,2022-2023,Business Administration,05/06/2013,55,712,0,345
Hellenic Mediterranean University,2022-2023,Business Administration,05/06/2013,53,1032,0,217
Hellenic Mediterranean University,2022-2023,Tourism Business and Hospitality Management,05/06/2013,59,960,0,255
Hellenic Mediterranean University,2022-2023,Electrical Engineering,07/05/2019,49,971,0,204
Hellenic Mediterranean University,2022-2023,Electronic Engineering,24/11/1983,96,1058,0,208
Hellenic Mediterranean University,2022-2023,Social Work,05/06/2013,99,528,0,157
Hellenic Mediterranean University,2022-2023,Accounting and Finance,05/06/2013,168,2836,0,349
Hellenic Mediterranean University,2022-2023,Music Technology and Acoustics Engineering,06/09/1999,31,1290,0,195
Hellenic Mediterranean University,2022-2023,Informatics Engineering,05/06/2013,72,1503,0,319
Hellenic Mediterranean University,2022-2023,Natural Resources and Environment Engineering,06/09/1999,95,552,0,149
Hellenic Mediterranean University,2022-2023,Mechanical Engineering,05/06/2013,107,1207,0,242
Hellenic Mediterranean University,2022-2023,Nursing,24/11/1983,71,307,0,135
Hellenic Mediterranean University,2022-2023,Agricultural Technologists,05/06/2013,87,1234,0,293
Ionian University,2022-2023,"Archival Science, Library Science and Museology",20/03/1984,51,737,16,292
Ionian University,2022-2023,Food Science and Technology,01/10/2018,5,371,75,371
Ionian University,2022-2023,History,20/03/1984,60,1013,14,435
Ionian University,2022-2023,Music Studies,01/09/1992,54,933,124,813
Ionian University,2022-2023,"Foreign Languages, Translation and Interpretation",20/03/1984,120,795,117,531
Ionian University,2022-2023,Environment,01/10/2018,0,274,28,274
Ionian University,2022-2023,Informatics,22/07/2004,60,1157,166,759
Ionian University,2022-2023,Sound and Image Arts,22/07/2004,36,1098,115,753
Ionian University,2022-2023,Tourism,01/10/2018,0,392,164,392
Ionian University,2022-2023,Digital Media and Communication,01/10/2018,36,780,236,779
Ionian University,2022-2023,Business Administration,05/06/2013,52,650,0,202
Ionian University,2022-2023,Tourism Business and Hospitality Management,05/06/2013,23,444,0,224
Ionian University,2022-2023,Conservation of Antiquities and Works of Art,05/06/2013,1,331,0,19
Ionian University,2022-2023,Sound Technology and Musical Instruments,20/06/2003,25,526,0,175
Ionian University,2022-2023,Food Technology,05/06/2013,54,453,0,163
Ionian University,2022-2023,Natural Environment Technologies,05/06/2013,14,562,0,109
Ionian University,2022-2023,Digital Media and Communication,05/05/2014,44,462,0,212
Athens University of Economics and Business,2022-2023,International and European Economic Studies,01/09/1989,97,1550,158,828
Athens University of Economics and Business,2022-2023,Management Science and Technology,01/09/2000,122,1388,199,953
Athens University of Economics and Business,2022-2023,Accounting and Finance,06/09/1999,170,1743,228,1131
Athens University of Economics and Business,2022-2023,Marketing and Communication,01/09/1989,153,1618,216,1062
Athens University of Economics and Business,2022-2023,Economic Science,01/09/1984,340,5501,291,1372
Athens University of Economics and Business,2022-2023,Business Administration,01/09/1984,359,5338,242,1407
Athens University of Economics and Business,2022-2023,Informatics,01/09/1984,178,2916,285,1387
Athens University of Economics and Business,2022-2023,Statistics,01/09/1989,69,1107,123,582
University of the Aegean,2022-2023,Geography,16/06/1989,61,782,75,506
University of the Aegean,2022-2023,Business Administration,20/03/1984,137,1615,232,887
University of the Aegean,2022-2023,Food Science and Nutrition,21/02/2007,30,613,48,372
University of the Aegean,2022-2023,Preschool Education Sciences and Educational Design,20/03/1984,133,985,190,685
University of the Aegean,2022-2023,Social Anthropology and History,20/03/1984,54,903,75,482
University of the Aegean,2022-2023,Sociology,16/06/1989,91,1116,142,779
University of the Aegean,2022-2023,Mathematics,20/03/1984,61,953,58,381
University of the Aegean,2022-2023,"Mediterranean Studies: Archaeology, Linguistics, International Relations",04/11/1997,99,1128,34,494
University of the Aegean,2022-2023,Economics and Management Engineering,10/03/2000,46,1132,139,684
University of the Aegean,2022-2023,Information and Communication Systems Engineering,04/11/1997,68,1354,146,832
University of the Aegean,2022-2023,Product and Systems Design Engineering,10/03/2000,52,1134,95,766
University of the Aegean,2022-2023,Shipping and Business Services,04/11/1997,109,850,131,723
University of the Aegean,2022-2023,Tourism Economics and Management,15/02/2017,24,347,98,347
University of the Aegean,2022-2023,Primary Education Pedagogy,20/03/1984,112,1264,249,875
University of the Aegean,2022-2023,Environment,20/03/1984,16,437,39,265
University of the Aegean,2022-2023,Cultural Technology and Communication,10/03/2000,75,1188,148,675
University of the Aegean,2022-2023,Statistics and Actuarial - Financial Mathematics,01/09/2018,74,948,157,584
University of the Aegean,2022-2023,Oceanography and Marine Biosciences,04/11/1997,66,939,46,375
University of West Attica,2022-2023,Early Childhood Care and Education,02/03/2018,140,746,187,661
University of West Attica,2022-2023,"Archival Science, Library Science and Information Systems",02/03/2018,125,791,104,612
University of West Attica,2022-2023,Biomedical Sciences,02/03/2018,290,2237,383,1781
University of West Attica,2022-2023,Graphic Design and Visual Communication,02/03/2018,53,1266,85,936
University of West Attica,2022-2023,Public and Community Health,02/03/2018,90,1101,226,887
University of West Attica,2022-2023,Business Administration,01/09/2018,312,3163,392,2329
University of West Attica,2022-2023,Tourism Management,02/03/2018,106,2445,406,1975
University of West Attica,2022-2023,Food Science and Technology,02/03/2018,94,987,122,705
University of West Attica,2022-2023,"Wine, Vine and Beverage Sciences",02/03/2018,63,879,78,546
University of West Attica,2022-2023,Occupational Therapy,20/03/2018,140,603,162,562
University of West Attica,2022-2023,Interior Architecture,02/03/2018,45,997,150,763
University of West Attica,2022-2023,Electrical and Electronic Engineering,13/06/2019,62,2835,210,2244
University of West Attica,2022-2023,Social Work,02/03/2018,99,829,183,748
University of West Attica,2022-2023,Accounting and Finance,02/03/2018,173,1759,238,1290
University of West Attica,2022-2023,Midwifery,01/09/2018,124,847,162,735
University of West Attica,2022-2023,Biomedical Engineering,02/03/2018,39,832,119,725
University of West Attica,2022-2023,Industrial Design and Production Engineering,23/07/2019,79,2214,288,1965
University of West Attica,2022-2023,Informatics and Computer Engineering,24/11/1983,61,2531,308,2130
University of West Attica,2022-2023,Surveying and Geoinformatics Engineering,02/03/2018,26,743,97,654
University of West Attica,2022-2023,Mechanical Engineering,02/03/2018,42,1543,163,1320
University of West Attica,2022-2023,Naval Architects,13/06/2019,35,755,104,665
University of West Attica,2022-2023,Nursing,02/03/2018,170,1120,201,955
University of West Attica,2022-2023,Civil Engineering,02/03/2018,59,1781,201,1512
University of West Attica,2022-2023,Conservation of Antiquities and Works of Art,02/03/2018,43,516,39,385
University of West Attica,2022-2023,Physiotherapy,02/03/2018,98,998,188,860
University of West Attica,2022-2023,Photography and Audiovisual Arts,01/09/2018,52,889,130,650
University of West Attica,2022-2023,Aesthetics and Cosmetology,03/02/2018,4,92,0,2
University of West Attica,2022-2023,Radiology and Radiotherapy,24/11/1983,3,53,0,0
University of West Attica,2022-2023,"Archival Science, Library Science and Information Systems",24/11/1983,8,123,0,1
University of West Attica,2022-2023,Automation,27/11/1985,32,1162,0,2
University of West Attica,2022-2023,Graphic Design,24/11/1983,20,239,0,1
University of West Attica,2022-2023,Public and Community Health,24/11/1983,3,174,0,1
University of West Attica,2022-2023,Business Administration,24/11/1983,21,637,0,0
University of West Attica,2022-2023,Business Administration,28/05/2013,23,1170,0,5
University of West Attica,2022-2023,Tourism Management,24/11/1983,2,342,0,0
University of West Attica,2022-2023,Tourism Business and Hospitality Management,24/11/1983,1,373,0,1
University of West Attica,2022-2023,Commerce and Advertising,24/11/1983,12,380,0,1
University of West Attica,2022-2023,Occupational Therapy,24/11/1983,4,86,0,1
University of West Attica,2022-2023,"Interior Architecture, Decoration and Object Design",24/11/1983,12,211,0,2
University of West Attica,2022-2023,Electrical Engineering,24/11/1983,23,1707,0,25
University of West Attica,2022-2023,Electronic Engineering,24/11/1983,20,645,0,4
University of West Attica,2022-2023,Electronic Engineering,24/11/1973,19,1377,0,3
University of West Attica,2022-2023,Medical Laboratories,24/11/1983,6,107,0,0
University of West Attica,2022-2023,Textile Engineering,24/11/1983,14,789,0,9
University of West Attica,2022-2023,Social Work,24/11/1983,5,112,0,1
University of West Attica,2022-2023,Accounting and Finance,24/11/1983,38,2003,0,3
University of West Attica,2022-2023,Midwifery,24/11/1983,4,69,0,1
University of West Attica,2022-2023,Biomedical Technology Engineering,24/11/1983,16,253,0,1
University of West Attica,2022-2023,Energy Technology Engineering,24/11/1983,5,331,0,2
University of West Attica,2022-2023,Energy Technology Engineering,24/11/1983,3,23,0,2
University of West Attica,2022-2023,Electronic Computing Systems Engineering,24/11/2018,16,900,0,2
University of West Attica,2022-2023,Informatics Engineering,24/11/1983,12,550,0,7
University of West Attica,2022-2023,Surveying and Geoinformatics Engineering,24/11/1983,21,209,0,2
University of West Attica,2022-2023,Mechanical Engineering,24/11/1983,19,1745,0,5
University of West Attica,2022-2023,Naval Architects,24/11/1973,10,299,0,5
University of West Attica,2022-2023,Nursing,24/11/1983,7,171,0,1
University of West Attica,2022-2023,Dental Technology,27/11/1983,5,141,0,4
University of West Attica,2022-2023,Oenology and Beverage Technology,24/11/1983,8,218,0,0
University of West Attica,2022-2023,Optics and Optometry,24/11/1983,5,93,0,2
University of West Attica,2022-2023,Civil Engineering,24/11/1983,8,252,0,2
University of West Attica,2022-2023,Civil Engineering,14/09/2009,12,944,0,3
University of West Attica,2022-2023,Preschool Education,24/11/1983,5,57,0,0
